question,answer
it's a great price. but you have to dial a lot of numbers.,how many?
it has the rose parade.,it has beautiful houses.
i cut my finger.,how did you do that?
i've never been to a french restaurant.,i think you'll love the food.
i have to get off the phone now.,i'm not ready to get off the phone with you.
what happened?,"a speeding car ran a red light, killing the girl."
tell me what you've been up to.,i've really been working a lot lately.
neither did i.,i was busy the whole day.
my stomach was bothering me.,are you feeling any better?
how far away is it?,it's only 10 minutes from here.
"yes, i saw it on the tv news.",they need 300 new workers.
i will poke your eyes out. ,i don't want any other woman.
and you get to play with a lot of dogs.,"well, you're supposed to be working."
because men like to cheat.,"some men do, but not me."
look at these marks on my arms.,what are they?
i don't even know why we need to fix it.,in case we have visitors.
there was a bomb threat at the airport.,only a threat?
that's nice.,are you going to be there?
"yes, it is.",i'll put on my cap.
i really wish it wasn't so hot every day. ,me too. i can't wait until winter.
people say that everybody loves obama.,"well, more than 50 million people voted for mccain."
that's what i'm going to do.,are you going to wash it yourself?
"hey, did you hear about jessica's party this weekend?","yeah, but i'm still waiting for my invitation."
and it's a corner unit.,that's great. we won't have neighbors on both sides of us.
"""she loves you, yeah, yeah, yeah!...""","""Â…and you know you should be glad!"""
he hates corporations.,"well, most corporations do think only about money."
"i didn't want to, so i didn't.","that's sad, but have you gone to the movies recently?"
he might want to cut you open.,he might say i'm okay.
can we call the police?,"no, the police don't care."
it's such a chore.,"brush, brush. spit, spit."
"yes, i know. some people are rude.",i always try to be polite.
is it easy to learn?,"yes, it will only take about 30 minutes."
i agree.,this city is full of jerks.
oh. that's simple enough.,"always print clearly, and fill in the bubbles completely."
i said i have to go to the bathroom.,that's what i thought you said.
i liked it.,"i'll give you a speech like that, too."
he will end the war.,the next four years will be good years.
that's true. where did that money go?,our legislators spent it on first-class travel all over the world.
what about the pillowcases?,"yes, i took them off the pillows and washed them."
the city is buying guns.,what are they paying?
oh. that's not good.,"no, it isn't. a flat costs you time and money."
it seems that it may rain today.,hopefully it will.
why is there so much crime?,because parents don't teach their kids right from wrong.
but i'm worried about tiger.,why is that?
"well, she'll probably just give me my invitation later on today.","yeah, so are you planning on going?"
hold your breath till we get there.,"okay, my seatbelt is on."
do you believe in god?,of course.
do you like it there?,it's okay. it's a really big campus.
what for?,i was crossing the street.
i'm attending pcc right now.,are you enjoying it there?
our kids are completely safe.,so why are we selling our house?
so why did you get a ticket?,the officer said the red hand was blinking.
"no, that's not the problem.",maybe it will go away in a little while.
so what was the score?,the score was 101-98.
"no, i'm serious.",doesn't that get old?
i like my food hot and fresh.,you like to see it disappear.
"the last time we went, you almost drowned.","no, i didn't."
i like the ones i can sing along with.,"so do i, like ""she loves you."""
"yes, he's 6 feet tall, 200 pounds, black hair, and about 30 years old.",what race is he?
someone should set him on fire.,that would teach him a good lesson.
what do you want the waiter to do?,bring me a better steak.
"they are clean, too.",did you shine your shoes?
maybe i will be the first!,i've been thinking about learning spanish.
would you like to see a movie with me and my friend?,do you know what movie you're going to watch?
why are they doing this?,they want to get guns off the street.
a coffin costs too much and takes up too much space.,"yes, but it will be in a cemetery where your children can visit you."
it's the best job i've ever had.,what makes it so good?
he hates democrats and republicans.,"well, they do put their party before their country."
i know. i really want to go to the beach.,but you know that california weather is really unpredictable.
they want 20 percent down.,that's a lot of money.
what do you have to do?,i'm having dinner with my family
do they help you run faster?,"no, but my feet don't hurt anymore."
did you tell her about school?,i told her that school is fun.
i mean i have wonderful students.,that must be nice.
that is a beautiful house.,i don't like it.
you shouldn't carry pens in your pocket.,yesterday a pen fell through my pants onto my shoe.
some people would just pick it up.,"yes, i know. some people are rude."
what race is he?,they didn't say.
debrah already had her baby.,i didn't know that.
my dad had to buy a new car.,wow! that's terrible.
so what? they still drove off.,the husband said a fire department was nearby.
what do they say about us?,they say that we are funny-looking.
so do you think it'll be perfect weather for the beach?,it sounds like it will be.
i like to watch people.,that's your favorite thing to do?
good for him.,why would he do that?
it isn't easy to see.,but it's real easy to slip on.
i know a good chinese restaurant.,how far away is it?
"no, i never did. all i know is that i got a's and b's in school.",i wish i was really smart.
and then what?,and then she'll know that you like her.
not a lot. what about you?,i'm throwing a party on friday.
what does she look like?,"well, she's quite short."
but the house is so nice.,it's in a great neighborhood.
"yes, it would be. ",i really wish it wasn't so hot every day. 
don't vacuum it now.,don't you want me to clean up the mud?
what are you talking about?,you know what i'm talking about.
"wear a jacket, too.",i wonder if i should bring my gloves.
that's not nice.,it's worse than that.
isn't it a nice day?,it really is.
did you save any money on the sale?,"yes, i did. i saved about $50."
he said a doctor helped him with a personal problem.,he said he wasn't using drugs.
i'm sorry for you.,thank you.
okay. i'll feed him right now.,you shouldn't make him wait.
i used all my savings on this one company.,you put all your eggs into one basket.
is this a clean restaurant?,"well, the tables and chairs look okay."
do you think i'm getting fat?,i didn't say that.
when you go to church?,"no, when i call him on his cell phone."
"that should be a nice trip. lots of fun, and lots of food.",i have no idea how much it will cost.
you bought a new car?,yes. i bought a cadillac.
how can he do that?,"when he is almost finished with one cigarette, he uses it to light another."
so?,"so, forget it."
what's to check?,are your nails clean?
was there much damage?,my dad had to buy a new car.
a man i met in a coffee shop.,where did you go?
to the state or the city?,"to the city, of course."
i believe that she will give me the invitation today.,are you even going to go?
"no, ten of my coworkers got laid off, too.",what are you going to do?
the man fell asleep.,was he smoking?
she's not too tall.,"well, how tall is she?"
i will keep knocking on doors.,all you will get is sore knuckles.
we don't even know what kind most of them are.,"there are lots of different kinds, but they all have one thing in common."
"without gravity, the water would go up.",you're joking.
i like to slide into the bases.,yeah. it's a lot of fun to slide.
it's no problem. i was really missing you anyway.,i missed you too.
"no, please tell me.",someone punched out someone.
i couldn't find any stamps.,they're in the kitchen drawer.
did he set a new record?,"yes, i think he did."
i can't believe that they would lie to us.,of course they lieÂ—that's what politicians do!
me too.,he will be a great president.
they are so weak.,a little cigarette controls them.
i had to blow my nose.,did you have to blow right next to the phone?
it's not even noon yet.,that means it will get hotter.
are you right-handed?,yes. all my life.
do you like this house?,"yes, it's beautiful."
people are always getting up to use the bathroom.,kids are crying or climbing over you.
your day was just like mine.,of course it was. we work together!
"no, the banana was delicious.",maybe you just need to go to the bathroom.
i feel sorry for you.,i have only a few friends.
how are you doing that?,i started shopping at the dollar store.
no one makes any money at it.,shakespeare was a poet.
are there any hobbies you do?,"when i have time, i sometimes draw and paint."
the weather this weekend is supposed to be warm.,will it be good beach weather?
i'll say! i've gone around the world a dozen times already!,now they're adding old tv shows to the old movies.
it leaves at 12:15.,when do you have to be at the airport?
the price of stamps goes up and up.,i think stamps used to cost a penny.
what's your email address?,it's bluedog123.
of course! he's world famous.,did he ever take art lessons?
"what if you fall while you're holding the light bulb, and it breaks and pieces go into your eyes?",i never thought about that.
i have enough stress from trying to solve my own problems.,you and everybody else.
how soon can we begin?,ahora! that means right now.
why didn't she love you anymore?,she fell in love with my best friend.
"no, i'm looking for another family.",another family?
"i understand, i guess.",sorry about that.
the people are friendly.,i'm not ever going to leave.
"well, she did, her baby was 8 pounds 6 ounces.","oh my god, that's great!"
"yes, because you can be too sensitive to odors.",i'll say. my girlfriend has a nose like a drug dog.
so what were you calling me about?,"oh, i just wanted to see if you wanted to hang out tomorrow."
so maybe we better leave at 8:15?,"yes, it's better to get there too early than too late."
sometimes i wish i was back in school.,"me, too. school was fun."
"i know, you should really go and see her and the baby.",of course i will.
where did you park it?,i parked it right here.
"yeah, especially since it's ninety degrees outside.","i know, it would be horrible if it rained and it was hot outside."
i've been working too.,"well regardless, i'm very happy that you came to see me."
she had good reason. what did she do?,she told him to drop his girlfriend.
"yeah, i went. did you go?","no, i didn't feel like it."
can we go to the baseball game?,of course.
why?,because you get to meet a lot of people.
"oh, yes! ""let it be, let it beÂ…""","""Â…there will be an answer, let it be!"""
that's a good price.,"yes, it's cheaper than a hot dog or a beer."
i took something earlier.,get better.
do any other world leaders have a basketball court?,they will. you know america always leads the way.
i was busy the whole day.,so was i.
i hate flossing more than brushing!,i can't wait till all my teeth fall out.
he apologized to the fans.,the league suspended him for 50 games.
let's go to a movie.,i'd rather not.
"well, the tables and chairs look okay.","okay, let's sit down."
i appreciate that.,you have no idea how happy i am for you.
"criminals, of course.","anyway, i have to fix the hole."
that's horrible. i'd be happy to give you the assignments from english class.,"thank you very much, that's kind of you."
i always cry at the end.,me too. it's so sad.
a blind date doesn't mean that she is blind!,what does it mean?
let's go to the beach.,that's a great idea.
why do you say that?,the speed limit is 65.
of living.,"who knows? you live, and then you die."
i think stamps used to cost a penny.,that was a long time ago.
is that right. who ended up winning?,our team was victorious.
don't be nosey.,i'm not. i just want to know.
i've always liked to draw and paint.,i didn't know you knew how to draw and paint.
i buried him with his cell phone.,what will you do when the battery dies?
a family with only one baby.,that's a good idea.
it's close to the mountains.,the people are friendly.
thank you.,i hope they fit.
"you're not lying, i found that movie absolutely hilarious.",i didn't know that you saw superbad before.
she has pretty light brown eyes.,i may know which girl you're talking about.
"yes, we do.",what else do we get from cows?
excuse me.,yes?
"well, would you like to go?","thank you for inviting me, but i think i'll pass."
"yes, i do.",how did you get it?
i learned back in high school.,"oh, so you took an art class?"
"just lettuce, tomato, and celery.",that's it?
my parents are divorced.,so are mine.
i eat the same thing every day.,you're kidding.
i made sure to be in line to see it the first day it came out.,i couldn't keep from laughing throughout the whole movie.
is there anything you would like to do next time?,do you want to go out to eat?
is there a reason why you're trying to get off the phone so fast?,i've got to go.
i did.,what's wrong with them so soon?
more and more people are using macs.,but 90 percent of the world uses pcs.
what makes it so good?,"for me, it's the students."
"i'm sure i'll like it, too.",you should try riding a mule on a trail to the bottom.
not that i've noticed.,"well, maybe it's from the pollution in the air."
"you should be happy, not worried.","i am happy, but marriage is a lot of responsibility."
but people still write poems.,no one makes any money at it.
i couldn't wait. it was an emergency.,"oh, really? maybe you should have called 911."
did you take pictures at the world war ii monument?,"oh, yes. we all took lots of pictures."
he said he would buy her a nice ring.,what's wrong with that?
we haven't been in a while.,we haven't been in a month.
"yes, i did.",what did you wash?
that's the truth.,and you get to play with a lot of dogs.
all the radios will be on extra loud.,your neighbors will hate you.
i want to watch this tv show.,maybe you should record it.
why do you have to think about it?,because a puppy costs money.
i wish i had a talent like that.,i'm sure you have a talent. it's just hidden.
"oh, really?",you are coming?
yelling doesn't do any good.,no. the best thing to do is just stay home.
did he speak to every family that lost a soldier?,"no, he didn't have time to do that."
the walls were so thin.,all day long we heard tvs or telephones.
"what's ""variety?",different thingsÂ—not the same thing all the time.
open the book.,the book is open.
"yes, it was love at first sight.",i didn't love you at first.
are you looking for another job?,"no, i'm looking for another family."
what do you need for school?,i need pencils.
i didn't get home until 30 minutes ago.,why is that?
i guess he has to be very careful about what he eats.,he has a very strict diet.
i voted for ralph nader.,who in the world is ralph nader?
"so, a little salt and pepper never hurt anything.",it hurt her feelings.
"well, i meant to.",don't ever be in a hurry when you're driving.
how about this table?,"no, it's too close to the front door."
you would float into the sky like a balloon.,that would be fun!
all the news in only 50 pages.,i like the political cartoons.
like what?,"well, if i have a big test at school."
i listen day and night.,what do you listen to?
"so, you didn't become a doctor.",and now i'm glad that i didn't.
too bad i was busy. i really wanted to go.,"yeah, you should have. it was really exciting."
"yes, it was.",why didn't she love you anymore?
how did you get it?,i don't know. maybe it was from a shopping cart.
i'll keep my receipt and my gun.,i didn't know you had a gun.
tell her i said hello.,okay. i'll return your pen when i'm done.
you can travel all over the world.,i know. i went to china yesterday.
is that right?,it's the truth. i am really happy.
i'm going to change the light bulb. it burnt out.,what are you standing on?
"i am happy, but marriage is a lot of responsibility.","yes, you have to take care of your wife."
the league suspended him for 50 games.,that will cost him some money.
"oh, really? maybe you should have called 911.",it wasn't that kind of emergency.
i enjoy selling. i was born to sell.,"okay, what do you want to sell?"
think about something else. think about a hamburger.,"i'm thinking, but i still have to go."
is this table okay?,"no, it's too close to the kitchen door."
do you know which one he would like?,"oh, yes, i took him there yesterday. he showed me one that he really liked."
maybe you should record it.,the tape recorder is broken.
i mean you're wasting your life.,i'm having fun.
"i'll vote for him next time, too.",i think everyone will.
did you see that puddle of water on the floor?,yes. i called for a clean-up.
that's great. we won't have neighbors on both sides of us.,no pets are allowed.
i got out of my car.,that's it?
then why are some schools telling the kids to stay home?,"the government says to wash our hands frequently, and we'll all be okay."
i'll see you tomorrow then.,see you then. goodbye.
"yes, but the red hand was blinking.",so? that's a ticket?
how did you like it?,i loved it. i still remember how amazing it was.
thank you.,when did he die?
maybe you should use an electric shaver.,"they make a lot of noise, but they don't give a close shave."
how rude.,but i got lucky a few minutes later.
no. that's incomplete.,what do you mean?
did you call the manager?,yes. he said he'd come over tomorrow.
a button is hard to find. did you look in your pant cuffs?,that's a good idea.
i really like that outfit.,"thanks. i think you look nice today, too."
"no, it doesn't. puppies are free.","yes, but a puppy needs shots."
where do you want to go?,let me think a minute.
"well, mostly i'll try to avoid it.","i mean, are you going to get buried or cremated?"
someone cut the tires.,what tires?
what is there to eat?,i don't know. look in the fridge.
"okay, just one more piece. pass the butter, please.","if i owned a restaurant, i would never serve hot bread before the main course."
it looks like blood.,i think my nose was bleeding.
i've been great. what about you?,i've been good. i'm in school right now.
are you going to be buried next to each other?,"oh, no. our ashes will be shaken into the ocean."
look! he just got out of the car and started running.,i hope the police catch him.
"with toast, ham, sausage, fresh fruit, and juice.",wow! that is nice. let's stay for two nights.
the sports guy shows us players fighting.,"they always tell us ""what's next."""
where were the cars?,they were in the student parking lot.
i really missed you a lot.,i've been missing you like crazy.
why didn't you go before we left?,"i did, but i have to go again."
"a long time ago, flying used to be okay.",now it's like riding a bus.
what was the problem?,someone cut the tires.
she weighs 98 pounds.,"okay, she's not fat. so what's the problem with her?"
"no, i had no idea.","well, she did, her baby was 8 pounds 6 ounces."
they're very comfortable.,how much were they?
what do you mean?,our monthly payments will be too high.
that election for u.s. senator stunk.,what do you mean?
shake it a couple of times.,i shook it. there is no more ink.
what college do you go to?,i go to pasadena city college.
sure. why not?,because food and other stuff sticks in my beard.
that's it? that's all i have to do?,"take me to a nice restaurant, not to mcdonald's."
i'm really glad that you came to see me.,i had to. i was missing you a lot.
so?,"so, every time the plane goes up, my ear starts to hurt."
so you're not very good at math?,i'm terrible at math.
what were you doing?,i was scratching my nose.
i like this hotel.,what do you like about it?
why not?,the seats and windows are dirty.
i like to listen to rock and r&b.,why do you like that type of music?
"yes, but who is the greatest?",i'd have to say babe ruth.
what do you mean?,"he's old enough to be my father, yet he asked me out."
that sounds like a good spot.,we watch people walk by with their dogs.
i was hoping you would come.,i'll definitely try to make it the next time.
that's for sure.,no one knows what happens after we die.
when are we going to stop?,we'll stop at the next mcdonald's.
"maybe the room is nice, but not the bed.",what's wrong with the bed?
i wonder if every language has jokes.,of course! people everywhere like good jokes.
your orange isn't orange?,"no, it's dark pink!"
okay. teach me how to play.,we each get five cards.
that's not right!,"when i started to cross the street, the white walk sign was blinking."
but that's what most people do.,"yes, i guess most of us are stuck in a routine."
where did you go?,we went to a nice restaurant.
then we can scrub it with a wet sponge and soap.,"after that, we can dry it with a towel."
because he likes to scuba dive.,what's wrong with that?
now he has the world record!,"but someone's going to break it, so what good is it?"
i'm falling asleep on the phone.,you got up real early.
what do you mean?,you would float into the sky like a balloon.
what if i don't like her?,then you don't date her again.
so are they going to hold another election?,no. that will cost too much money.
that's correct.,so what's the problem?
not yet.,then why are you watching tv?
"oh, that's terrible. what does she look like now?","her face is really fat, but they say the swelling will go down."
you should go to bed.,i will as soon as i finish this article.
what happened?,"i had a car problem, so i went online."
"no, thank you, i'll just wait.",we can kill two birds with one stone.
how so?,two guys got into an argument.
i stayed home because i wasn't feeling well.,what was your problem?
"yes, they are.",did you double-check your nose and teeth?
i like listening to different kinds of music.,"like what, for instance?"
we get a free breakfast.,coffee and a roll?
"that would ruin things, i want to go so badly.","the weather in california is unpredictable, so you never know."
do you believe everything you hear?,i don't believe anything i don't see with my own eyes.
"when i started to cross the street, the white walk sign was blinking.",you need to walk faster.
no problem. i'll give him food off my plate.,"oh, no you don't. puppies don't eat vegetables."
i had no idea.,is that right?
a hospital is the most dangerous place in the world.,"oh, yes, because of all the killer germs."
i can't believe it. i drew paintings like that in third grade.,where are they? maybe they are worth millions.
what kind of music do you enjoy listening to?,i enjoy listening to all kinds of music.
"exactly, it seems like it's going to be loads of fun.",when exactly does the party start?
so do i.,the world needs more polite people like us.
okay. i'll return your pen when i'm done.,take your time.
it shouldn't take him long to fix it.,i don't even know why we need to fix it.
"the weather in california is unpredictable, so you never know.",that is true. the weather is constantly changing.
"yes. the ones that will improve our schools, roads, and hospitals.",you mean the measures that will raise our taxes.
what are you talking about?,sunday is mother's day.
i do it every once in a while.,how long have you known how to do that?
i want sheets without stains on them.,"from now on, let's bring our own sheets."
did you put the letter in an envelope?,"yes, and i sealed the envelope."
they pay money to play this silly game!,i think golfers have a mental problem.
but you're right. there are a lot of fires.,a recent fire destroyed 85 homes.
why haven't you tried to come see me then?,i've been really busy.
did you hear what happened at the baseball game?,"no, please tell me."
winter is great. i wish it didn't get so cold sometimes though.,i would rather deal with the winter than the summer.
i'll have to try them sometime.,they're best when they're hot.
do you like it?,"oh, yes, i really like it."
"yes, i dried everything in the dryer.",then what did you do?
last year we made a big snowman.,how big was it?
was something wrong with the phone?,it works only in canada.
nothing.,there must be something on tv!
maybe he's just a liar.,"maybe i'll vote for someone else, too."
what have you heard about it?,it's based on a true story about a divorced man and his young son.
"yes, but a puppy needs shots.",shots for what?
they never shut up.,why did you get a poodle?
i'll bet he enjoyed his walk.,i vacuumed the entire house.
but you're doing 75.,so is everyone else.
never park your car under a tree.,"the wind will get you, or the birds will get you."
check your tires or you'll get a flat.,oh. that's not good.
"nothing much, what's going on?",i'm having a party this friday.
i'll bet this is the first time you've ever flown during christmas.,you're right.
will you go and visit them?,of course i will.
what's the matter with it?,it's too much like other flags.
but the swine flu just killed 20 people in mexico.,the government says we have nothing to worry about.
i think it was about 45 minutes long.,but it went by fast. it was interesting.
at 8:00 p.m.,i'll be there.
children seldom visit their parents in a cemetery.,"that's true. a cemetery is for dead people, not living people."
you're trying to tell me something.,that didn't take long.
we'll stop at the next mcdonald's.,how far away is that?
but girls like guys who are funny.,maybe we should learn some good jokes.
i'm watching you.,i'm an open book. watch me all you want.
i had to take my friend to the airport.,why didn't you take a nap when you got home?
old movies are the best.,even though they're in black and white.
i got a ticket yesterday.,what for?
"whatever a customer ordered, i sliced off a little more for me.",did you get fat?
"yes, he did. his cat died, too.",that's too bad. what about his smoke alarm?
"no, i just blow my nose a lot.",your nose is stopped up?
they were on sale for $80.,do they help you run faster?
i would love it if it wasn't always so unpredictable.,that would make it easier for us to make plans.
what do you do?,i'm a babysitter.
i really don't want to go by myself.,"well anyway, do you plan on going to school tomorrow?"
"well, you're supposed to be working.","yes, but i will always pet the friendly dogs."
"well, that's okay.","yeah, sorry."
perfect. we don't have to listen to barking dogs.,and there are only six units in the whole building.
are you enjoying it there?,it's not bad. there are a lot of people there.
who invited them?,some private organization.
"okay, let's sit down.",check out the silverware.
okay. i think i'll be awake by then.,"if not, your nose will wake you up."
we watch people walk by with their dogs.,i guess you see lots of different dogs.
did you always know how to draw and paint?,i was taught in high school how to draw and paint.
"yes, and he didn't tell the buyer.",i hope judge judy made the seller take the phone back.
because of all the security?,"no, because it hurts my ears."
i have only a few friends.,you must be lonely. i will share my friends with you.
when does it start?,at 8:00 p.m.
do you get pbs on tv?,"yes, everybody gets the public broadcasting system."
they bark at everything.,they never shut up.
a trip to the beach would be fun. how is the weather going to be?,the forecast says that it will be warm on the weekend.
people who live in california are crazy.,why is that?
no one at work likes him.,can't you report him to his supervisor?
what's the matter?,this steak has too much fat.
i'm a good card player.,why is that?
parking at school is impossible.,i'll say.
"okay, mom, maybe i was picking it a little bit.",use a tissue next time.
that's it?,i add some pepper and salt.
or artists.,they're in a different world.
you're not going to be buried?,a coffin costs too much and takes up too much space.
do you want anything to make you feel better?,"no, thanks. i already took some medicine."
of course i will.,i just wanted to give you the good news.
"oh, yes. we all took lots of pictures.",then you flew back home that evening?
what's the matter with this one?,it's not comfortable.
"oh great, we could both work at burger king.","maybe we'd get laid off there, too."
"thank you for inviting me, but i think i'll pass.",all right. another time then.
how about you see a movie with me and my friend?,what movie are you and your friend planning on watching?
"that's about $30,000.",thirty thousand dollars! that will take forever.
do you have a cold?,"yes, i do."
why not?,i don't really want to.
why is that?,because i love the snow.
i couldn't keep from laughing throughout the whole movie.,i was laughing hysterically the whole time; my stomach muscles hurt afterwards.
is there somewhere special you wanted to go?,how about a movie?
you can borrow mine.,thank you. i'll buy a new one tomorrow.
that is true. i hope it doesn't rain.,it wouldn't rain in the middle of the summer.
it's so much trouble.,it's common sense.
it doesn't look very nice outside today.,you're right. i think it's going to rain later.
"this friday, i'm throwing a party.",oh really? i didn't know that.
so are cigarettes.,which would you prefer?
the husband said he tried to help the boy.,"yes, he pushed him off the hood of the car."
poems are a little bit like songs.,"yes, but songs have music. without music, songs would suck, too."
what else do we get from cows?,we get hamburgers and steak.
"yes, a thrift shop has that same smell.","yes, an old smell."
it's okay.,so what were you calling me about?
it seems fine to me.,i toss and turn all night.
i wonder if i should bring my gloves.,"maybe you should, just in case it gets colder."
it comes from cows.,"so we get cheese from cows, and we get milk, too?"
like fruit that is too ripe?,"yes, just like fruit that is too ripe."
i hope they fit.,i hope you kept the receipt.
there's something wrong with my right hand.,what's wrong with it?
i will talk to your father about that.,i bet dad did it all the time when he was my age.
is it something you ate?,maybe. i'm not sure.
i feel so sorry for those people.,why feel sorry for rich people?
i want to be a mail carrier when i grow up.,why?
of course.,do you pray to god?
"so, what's the problem?","i sent them $20 using my credit card, but they never sent me the solution."
that's hard to take.,i've never heard him say please or thank you.
"well, you should do something that you enjoy.",i enjoy selling. i was born to sell.
is alice available?,you're talking to her.
"no, he said he gently placed the boy on the street.",so what? they still drove off.
why is that?,because of all the earthquakes and fires.
what else do they talk about?,they talk about food and the weather.
there's something wrong with my orange.,what's wrong?
i hope you kept the receipt.,you think they won't fit?
many shirts come with an extra button.,you're right. this one does have an extra button.
why did she leave you?,she said she didn't love me anymore.
who's paying for that?,i think we are!
when did you get divorced?,i got divorced two years ago.
i hope we'll see a home run.,i hope we'll catch a foul ball.
they brushed with their fingers.,they also ate with their fingers!
they both said i have to live with it.,or you can stay off planes.
it works only in canada.,did the seller know that?
i'll bet the car continued on its way.,of course it did. why stop after you've run over two people?
i'm getting married.,"you should be happy, not worried."
really? how many do you have?,"i don't know, maybe one hundred."
i could pick only one or the other?,"yes. nothing's perfect, not even in heaven."
i meet too many jerks.,i agree.
then they're worth every penny.,you might want to buy a pair.
i'm going to the movie theater with my friend. what are you going to do?,i'm not quite sure yet.
that one. the one that's all black.,"yes, i like that one, too."
it's so tight that it's hard for me to breathe.,hold your breath till we get there.
"then i add butter, salt, and pepper.",can i have all those cans of tomato sauce you bought for your pasta?
that's a good idea.,i bought some new shoes.
the husband said a fire department was nearby.,so what? did he dial 911?
did you put the sheets on the beds?,"yes, and i put the pillowcases on the pillows."
i'm on a new diet.,what are you eating now?
such as?,"yesterday, a woman complained about a cell phone she bought on ebay."
"oh, no. help yourself.",i asked because the paper is sitting next to you.
that sounds like fun.,where do you want to go?
why doesn't it close?,who knows? they said they'll fix it before next season.
"$1,000.","well, that should get you something."
that's terrible! when did it happen?,i got laid off last week.
my parents go to church every sunday.,they trust in god.
is it his money?,no. movie stars give him money to give to homeless people.
did you double-check your nose and teeth?,"they are clean, too."
"no, i hate vegetables.",but you eat fruits.
"maybe it was, but answer the question.","no, not recently."
lucky for you it wasn't a sharp knife.,who carries a sharp knife in their pocket?
about what?,about finding a job for me.
of course they talk about us.,what do they say about us?
did someone steal it?,i sure hope not.
which one?,any one. i need to sharpen this pencil.
"well, i need some help.",with what?
how many best friends do you have?,i think about twenty-five.
i especially love the night air when it rains.,really? why?
she told him to drop his girlfriend.,what did your father do?
that means month/day/year. use numbers.,i don't understand.
sometimes.,what does she do?
because you're thinking too much.,so i should stop thinking?
he sank a 20-foot putt on the last hole to win by one stroke!,he sank a 25-footer last year at the same tournament to win by one stroke.
i knew you didn't love me.,"okay, okay! i'll make a reservation right now."
so it's better to save money than to have an honest election?,"well, the democratic party says it was an honest election."
"i can smell you, too.",that's my perfume.
the police need our help finding a robber.,how do you know?
i can smell you.,"i can smell you, too."
there sure areÂ—at least a million.,so how do you plan to become rich?
then wait till you find a tissue.,i couldn't wait. it was an emergency.
where do you get these crazy ideas?,i used to cook in a restaurant!
did he crash?,"no, he just landed the plane and walked to a restaurant."
they're best when they're hot.,my brother is allergic to peanuts.
i'll teach you one.,okay. what will you teach me?
"we need cheese, bread, and ham.",what kind of cheese?
i wasn't done talking to you.,"i have to do some things, and besides, it's not polite to be nosey."
"yes, with the voter instructions.",how are you going to vote?
okay. i'll take your word for it.,i thought you had an elephant in your house.
how much are they?,they're only $5 each.
what's the matter?,i was on a plane.
i want to do something tomorrow with you.,sounds good. what did you have in mind?
it certainly is.,you hit a white ball.
why weren't you at school yesterday?,i wasn't really feeling well.
"oh, why is that?",it's the funniest movie that i've ever seen.
you know what you did.,"maybe i know, but how could you know?"
you like to see it disappear.,i don't like it reheated.
i think golfers have a mental problem.,i think they're nuts.
there's a real nice park nearby.,"yes, there is."
no problem. these pants have an elastic waistband.,you are so smart!
what was your problem?,my stomach was bothering me.
yesterday a pen fell through my pants onto my shoe.,lucky for you it wasn't a sharp knife.
it's close to the beach.,it's close to the freeways.
sure. why do you need it?,i want to buy lunch.
we have to find a cheaper house.,of course. we can't live without gas or peanut butter.
so how do you make long distance calls?,i use a calling card.
where do the students go?,they go out to the north parking lot.
he's a good speaker.,and he's really smart.
what good does it do?,you get to put someone in power that you like.
i think i lost it today. i used it yesterday.,did you check all your pockets?
that's a great idea.,"yes, all the markets just started offering wipes to shoppers."
they were in the student parking lot.,how many tires were cut?
have you ever lost a letter in the mail?,"no, i haven't."
doing what?,working.
"yes, it was.",they said about 30 houses burned to the ground.
how many tires were cut?,one or two tires were cut on each car.
"no, i didn't go, i've been sick.",that sucks. did you want the assignments from english class?
how long did it take?,"four hours, without a break."
"the pants are fine, but the pocket has a huge hole in it.",you shouldn't carry your keys and pens in your pocket.
i don't know. look in the fridge.,i think i'll make a sandwich.
you have a lot of plants.,then i did my laundry.
i'm trying to stretch my dollars.,how are you doing that?
how about a movie?,a movie sounds good.
i'll give it back to you in a couple of minutes.,maybe we should put it in a plastic bag to keep it clean.
ask the clerk.,i will.
i would like to take a trip to the beach this weekend.,a trip to the beach would be fun. how is the weather going to be?
how are you going to do that?,i'll just use the atm.
sort of. she knows whenever i sneak a cigarette.,you don't need a good nose for thatÂ—cigarettes stink.
"well, a d is better than an f.",a tutor helped me get the d!
all the tv stations are going to go digital.,"yes, that will occur next month."
"four hours, without a break.",it's always nice to finish a job.
he'll give you a prescription for glasses.,i'll make an appointment tomorrow.
i think only the family will be there.,"you have lots of friends. they will be there, too!"
i can't believe he won the election.,only 15 percent of the voters turned out.
what are you doing this weekend?,i'm going to the movies with a friend. how about you?
"not a lot, what about you?",i'm having a party next saturday.
that was a long time ago.,it was before i was born.
"yes, it's a $140 ticket.",that's not right!
a new hotel is looking for workers.,"yes, i saw it on the tv news."
"the island is so green, and the water is so blue.",did you go swimming?
i don't have enough will power.,of course you do.
where are the band-aids?,i think they're in the medicine cabinet.
do you really love me?,of course.
"yes, but i will always pet the friendly dogs.",what about the unfriendly dogs?
"oh, yes, i took him there yesterday. he showed me one that he really liked.",i bet you had to drag him away.
how long did it take?,it took us all day.
"oh, you actually do that?","every so often, i do."
i didn't think you saw that movie.,i went to see it the day it came out.
"well anyway, do you plan on going to school tomorrow?","no, i think i'm going to go to the movies."
"well, i guess you have to live with it.",sometimes i want to throw it out the window.
i really hope it rains today.,"yeah, me too."
